20|DOMESTIC RELATIONS|||||1|PRE-MARITAL SYPHILIS TESTS AND EXAMINATIONS [Repealed]|||||§§ 20-1 through 20-12|Repealed.|<p>Repealed by Acts 1984, c. 140.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-13|License and solemnization required.|<p>Every marriage in this Commonwealth shall be under a license and solemnized in the manner herein provided.</p><p>Code 1919, § 5071.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-13.1|Repealed.|<p>Repealed by Acts 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0355'>355</a>, cl. 2.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-14|By whom license to be issued.|<p>Every license for a marriage shall be issued by the clerk or deputy clerk of a circuit court of any county or city. If from any cause neither the clerk nor his deputy is able to issue the license, it may be issued by the judge of the circuit court of such county, or city, who shall make return thereof to the clerk as soon as there may be one.</p><p>Code 1919, § 5072; 1924, p. 398; 1948, p. 107; 1968, c. 318; 1977, c. 102; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0355'>355</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-14.1|Duration of license; issuance of additional licenses.|<p>Every marriage license issued under § <a href='http://law.lis.virginia.gov/vacode/20-14/'>20-14</a> shall constitute authority for a period of only sixty days from the date of issuance for the solemnization of a marriage of the licensees. Whenever such sixty-day period shall have elapsed without the solemnization of a marriage of the licensees, the license shall expire.</p><p>The provisions of this section shall not be construed to prevent licensees from applying for or receiving an additional license, either before or after expiration of any license, but no new license shall be issued except in compliance with all provisions of law applicable to the issuance of a license in the first instance.</p><p>1958, c. 8; 1968, c. 318.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-14.2|Repealed.|<p>Repealed by Acts 2012, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0802'>802</a>, cl. 2.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-15|Tax on license.|<p>On each marriage license issued under § <a href='http://law.lis.virginia.gov/vacode/20-14/'>20-14</a> there is hereby levied a license tax of $20, which tax shall be collected by the clerk when the license is issued and accounted for as in the case of other state taxes collected by him. Ten dollars of this license tax shall be allocated to the Virginia Department of Social Services for the purpose of providing services to victims of domestic violence.</p><p>Code 1919, § 5072; 1924, p. 398; 1948, p. 107; 1975, c. 119; 1982, c. 305; 1993, c. 887; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0375'>375</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-16|Issuance of marriage licenses and marriage certificates.|<p>The clerk issuing any marriage license shall require the parties contemplating marriage to state, under oath, the information required to complete the application for marriage license. The parties shall be able to designate themselves on the application for marriage license as spouse, bride, or groom. The clerk shall provide the parties with two copies of the marriage certificate to be completed by the marriage officiant, who shall return the completed certificates to the clerk after the marriage ceremony of the parties. The clerk shall retain one copy of the completed marriage certificate and provide the other copy to the State Registrar of Vital Records. The clerk may provide the parties with a commemorative marriage certificate and the parties may request a certified copy of the official marriage certificate as provided in Article 7 (§ <a href='http://law.lis.virginia.gov/vacode/32.1-270/'>32.1-270</a> et seq.) of Chapter 7 of Title 32.1. For the purposes of this section any statement made by such applicant, under oath, concerning the information to be entered on the application for marriage license is hereby declared to be a material matter or thing in any prosecution for perjury for any violation of this section.</p><p>Code 1919, § 5074; 1928, p. 314; 1938, p. 151; 1968, c. 318; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0708'>708</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-16.1|Clerk authorized to amend marriage records.|<p>The clerk (i) may, on his own authority, correct marriage records established in his office by amending the same upon application under oath and submission of evidence deemed by the clerk to be adequate and sufficient and (ii) shall correct such records upon order of the court in which the marriage record was established. Upon correction of a marriage record the clerk shall forward to the State Registrar a certified copy of the corrected marriage record.</p><p>1988, c. 54.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§§ 20-17 through 20-19|Repealed.|<p>Repealed by Acts 1968, c. 318.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-20|Clerk to file license and certificate; indexing names of parties; certified copies as evidence.|<p>The clerk to whom the license and certificate are returned, shall file and preserve the original in his office, and make an index of the names of both of the parties married.</p><p>When the certificates of such person celebrating such marriage are returned to the clerk, and recorded as provided in this section and § <a href='http://law.lis.virginia.gov/vacode/32.1-267/'>32.1-267</a>, copies of the same properly certified by the clerk lawfully having the custody thereof or properly certified by the State Registrar of Vital Statistics shall be prima facie evidence of the facts therein set forth in all courts of this Commonwealth.</p><p>Code 1919, §§ 5074, 5076; 1928, p. 315; 1938, p. 152; 1968, c. 318.</p>
