3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-100|Definitions.|<p>As used in this title, unless the context requires a different meaning:</p><p>"Board" means the Board of Agriculture and Consumer Services.</p><p>"Commissioner" means the Commissioner of Agriculture and Consumer Services.</p><p>"Department" means the Department of Agriculture and Consumer Services.</p><p>2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-101|Department continued; appointment of Commissioner; agriculture education.|<p>A. The Department of Agriculture and Consumer Services is continued. The Department shall be under the management and control of a Commissioner appointed by the Governor, subject to confirmation by the General Assembly, for a term coincident with that of the Governor. Any vacancy in the office of the Commissioner shall be filled by appointment by the Governor pursuant to the provisions of Article V, Section 10 of the Constitution of Virginia.</p><p>B. There shall be established, within the Department, to be administered by the Department of Agriculture Education at Virginia Polytechnic Institute and State University, a unit of specialists in agriculture education. The unit shall: (i) assist in developing and revising local agriculture curricula to integrate the Standards of Learning; (ii) provide professional development for agriculture instructional personnel to improve the quality of agriculture education; (iii) conduct site visits to the schools providing agriculture education; and (iv) seek the input of business and industry representatives regarding the content and direction of agriculture education programs in the public schools of the Commonwealth.</p><p>1. Any required reduction in the Department's budget shall be reflected in a proportional reduction in the operation of the agriculture education unit. The reduction in the allocation for operation of the agriculture education unit shall not exceed the percentage reduction provided for in the appropriation act for the Department.</p><p>2. In the event that additional funds are not allocated for these positions, the Department shall not be required to absorb the costs of these positions.</p><p>Code 1950, § 3-7; 1966, c. 702, § 3.1-8; 1971, Ex. Sess., c. 34; 1978, c. 219; 1985, c. 397; 2004, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0180'>180</a>, § 3.1-14.2; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-101.1|Certified mail; subsequent mail or notices may be sent by regular mail.|<p>Whenever in this title the Board, the Commissioner, or the Department is required to send any mail or notice by certified mail and such mail or notice is sent certified mail, return receipt requested, then any subsequent, identical mail or notice that is sent by the Board, the Commissioner, or the Department may be sent by regular mail.</p><p>2011, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?111+ful+CHAP0566'>566</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|Department and Commissioner of Agriculture and Consumer Services|||§ 3.2-102|General powers and duties of the Commissioner.|<p>A. The Commissioner shall be vested with the powers and duties set out in § <a href='/vacode/2.2-601/'>2.2-601</a>, the powers and duties herein provided, and such other powers and duties as may be prescribed by law, including those prescribed in Title 59.1. He shall be the executive officer of the Board, and shall see that its orders are carried out. He shall see to the proper execution of laws relating to the Department. Unless the Governor expressly reserves such power to himself, the Commissioner shall promote, protect, and develop the agricultural interests of the Commonwealth. The Commissioner shall develop, implement, and maintain programs within the Department including those that promote the development and marketing of the Commonwealth's agricultural products in domestic and international markets, including promotions, market development and research, marketing assistance, market information, and product grading and certification; promote the creation of new agribusiness including new crops, biotechnology and new uses of agricultural products, and the expansion of existing agribusiness within the Commonwealth; develop, promote, and maintain consumer protection programs that protect the safety and quality of the Commonwealth's food supply through food and dairy inspection activities, industry and consumer education, and information on food safety; preserve the Commonwealth's agricultural lands; ensure animal health and protect the Commonwealth's livestock industries through disease control and surveillance, maintaining animal health diagnostic laboratories, and encouraging the humane treatment and care of animals; protect public health and the environment through regulation and proper handling of pesticides, agricultural stewardship, and protection of endangered plant and insect species; protect crop and plant health and productivity; ensure consumer protection and fair trade practices in commerce; develop plans and emergency response protocols to protect the agriculture industry from bioterrorism, plant and animal diseases, and agricultural pests; assist as directed by the Governor in the Commonwealth's response to natural disasters; develop and implement programs and inspection activities to ensure that the Commonwealth's agricultural products move freely in trade domestically and internationally; and enter into agreements with federal, state, and local governments, land grant universities, and other organizations that include marketing, plant protection, pest control, pesticides, and meat and poultry inspection.</p><p>B. In addition, the Commissioner shall:</p><p>1. Establish and maintain a farm-to-school website. The purpose of the website shall be to facilitate and promote the purchase of Virginia farm products by schools, universities, and other educational institutions under the jurisdiction of the State Department of Education. The website shall present such current information as the availability of Virginia farm products, including the types and amount of products, and the names of and contact information for farmers, farm organizations, and businesses marketing such products;</p><p>2. Establish and operate a nonprofit, nonstock corporation under Chapter 10 (§ <a href='/vacode/13.1-801/'>13.1-801</a> et seq.) of Title 13.1 as a public instrumentality exercising public and essential governmental functions to promote, develop, and sustain markets for licensed Virginia wineries and farm wineries, as defined in § <a href='/vacode/4.1-100/'>4.1-100</a>. Such corporation shall provide wholesale wine distribution services for wineries and farm wineries licensed in accordance with § <a href='/vacode/4.1-206.1/'>4.1-206.1</a>. The board of directors of such corporation shall be composed of the Commissioner and four members appointed by the Board, including one owner or manager of a winery or farm winery licensee that is not served by a wholesaler when the owner or manager is appointed to the board; one owner or manager of a winery or farm winery licensee that produces no more than 10,000 cases per year; and two owners or managers of wine wholesaler licensees. In making appointments to the board of directors, the Board shall consider nominations of winery and farm winery licensees submitted by the Virginia Wineries Association and wine wholesale licensees submitted by the Virginia Wine Wholesalers Association. The Commissioner shall require such corporation to report to him at least annually on its activities, including reporting the quantity of wine distributed for each winery and farm winery during the preceding year. The provisions of the Virginia Public Procurement Act shall not apply to the establishment of such corporation nor to the exercise of any of its powers granted under this section; and</p><p>3. Promulgate regulations in accordance with the Administrative Process Act (§ <a href='/vacode/2.2-4000/'>2.2-4000</a> et seq.) not inconsistent with the laws of Virginia necessary to carry out the provisions of Article 1.1:1 (§ <a href='/vacode/18.2-340.15/'>18.2-340.15</a> et seq.) of Chapter 8 of Title 18.2. Such regulations may include penalties for violations.</p><p>Code 1950, §§ 3-7, 3-9, 3-13; 1966, c. 702, §§ 3.1-8, 3.1-10, 3.1-14; 1971, Ex. Sess., c. 34; 1975, c. 260; 1977, c. 186; 1978, cc. 219, 540; 1982, c. 150; 1985, c. 397; 1993, c. 455; 1994, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0261'>261</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0370'>370</a>; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0010'>10</a>; 1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0996'>996</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0633'>633</a>; 2007, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0352'>352</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0870'>870</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0932'>932</a>, §§ <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0003'>3</a>.1-14.4, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0003'>3</a>.1-14.01; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>; 2012, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0803'>803</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0835'>835</a>; 2020, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP1113'>1113</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP1114'>1114</a>; 2022, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?221+ful+CHAP0554'>554</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?221+ful+CHAP0609'>609</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-103|Records to be held in confidence.|<p>The Commissioner shall hold the following records of the Department in confidence unless otherwise directed by the Governor or the Board:</p><p>1. Schedules of work for regulatory inspection;</p><p>2. Trade secrets and commercial or financial information supplied by individuals or business entities to the Department;</p><p>3. Reports of criminal violations made to the Department by persons outside the Department;</p><p>4. Records of active investigations until the investigations are closed;</p><p>5. Financial records of applicants for assistance from the Virginia Farm Loan Revolving Account except those records that are otherwise a matter of public record; and</p><p>6. Tax returns required by the agricultural commodity boards established pursuant to this title to the extent necessary to protect the privacy of individual taxpayers.</p><p>Code 1950, § 3-13; 1966, c. 702, § 3.1-14; 1975, c. 260; 1977, c. 186; 1978, cc. 219, 540; 1982, c. 150; 1993, c. 455; 1994, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0261'>261</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0370'>370</a>; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0010'>10</a>; 1996, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0996'>996</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0633'>633</a>; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-104|Commissioner may serve on board of national tobacco trust entity.|<p>The Commissioner may serve in his official capacity on the board of directors of any entity established to ensure the implementation in the Commonwealth of a national tobacco trust established to provide payments to tobacco growers and tobacco quota owners to ameliorate adverse economic consequences resulting from a national settlement of states' claims against tobacco manufacturers.</p><p>2000, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP1048'>1048</a>, § 3.1-14.1; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-105|Century farm program.|<p>The Commissioner shall establish a century farm program to honor farm families in the Commonwealth whose property has been in the same family for 100 years or more. In order to be eligible for recognition under the program, a farm shall (i) have been owned by the same family for at least 100 consecutive years; (ii) be lived on, or actually farmed, by a descendant of the original owners; and (iii) gross more than $2,500 annually from the sale of farm products.</p><p>1997, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0161'>161</a>, § 3.1-17.1; 1999, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?991+ful+CHAP0346'>346</a>; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>; 2016, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0006'>6</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-106|Horse breeder incentive program.|<p>A. It is the policy of the Commonwealth to encourage the growth of all segments of its agricultural industry. The General Assembly finds that the horse breeding industry has a significant impact on the Commonwealth's economy and that it is to the Commonwealth's benefit to encourage, expand, and develop horse breeding farms with programs providing financial incentives to breeders that will encourage and supplement private capital.</p><p>B. To the extent that public or private funds become available, the Department may establish a program of financial incentives designed to encourage, expand, and develop the breeding of horses in the Commonwealth. The Department shall adopt appropriate regulations for the administration of the program. Such regulations shall provide for the distribution of financial awards to breeders only to the extent that public funds made available to the Department for the program are matched dollar for dollar by private funds. The regulations shall also provide that no single breeder shall receive, in any one calendar year, more than 10 percent of the public funds made available to the Department for the program during that year. Awards made under any such incentive program shall be limited to horses foaled in the Commonwealth that are owned by breeders who are actively engaged in the breeding of horses in the Commonwealth.</p><p>1981, c. 140, § 3.1-741.2; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-107|Testing samples of products delivered to laboratories; prescribing and collecting fees; Laboratory Fee Fund established; disposition of moneys.|<p>A. The Commissioner may have tested samples of manufactured, processed, or natural products delivered to laboratories operated by the Division of Consolidated Laboratory Services or the Department and prescribe and collect reasonable fees for the services rendered.</p><p>B. All fees and moneys collected or received by the Commissioner or the Department in its official capacity for the testing of samples of manufactured, processed, or natural products shall be paid into the Laboratory Fee Fund.</p><p>C. There is hereby created in the state treasury a special nonreverting fund to be known as the Laboratory Fee Fund, hereinafter referred to as the Fund. The Fund shall be established on the books of the Comptroller. All fees collected pursuant to this section shall be paid into the state treasury and credited to the Fund. Interest earned on moneys in the Fund shall remain in the Fund and be credited to it. Any moneys remaining in the Fund, including interest thereon, at the end of each fiscal year shall not revert to the general fund but shall remain in the Fund. Moneys in the Fund shall be used solely for the purposes of the costs of the testing provided for in this section. Expenditures and disbursements from the Fund shall be made by the State Treasurer on warrants issued by the Comptroller upon written request signed by the Commissioner.</p><p>Code 1950, §§ 3-13.1, 3-13.2; 1964, c. 163; 1966, c. 702, §§ 3.1-15, 3.1-16; 1972, c. 741; 1978, cc. 219, 702; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
3.2|AGRICULTURE, ANIMAL CARE, AND FOOD|I|GENERAL PROVISIONS; PROTECTION AND PROMOTION OF AGRICULTURE|||1|GENERAL PROVISIONS|1|DEPARTMENT AND COMMISSIONER OF AGRICULTURE AND CONSUMER SERVICES|||§ 3.2-108|Department to establish a program to support new and emerging crops and technologies.|<p>A. From such funds as may be appropriated for such purposes and from gifts, donations, grants, bequests, and other funds as may be received, the Department shall establish a program to:</p><p>1. Encourage the production of alternative crops in the Commonwealth that may be used as a feedstock for energy generation and transportation, thereby supporting farmers and farm communities in their efforts to: (i) sustain and enhance economically viable business opportunities in agriculture; (ii) reduce nonpoint source pollution in the Chesapeake Bay and other waters of the Commonwealth; (iii) restore depleted soils; (iv) provide wildlife habitat; (v) reduce greenhouse gases; and (vi) reduce the country's dependence on foreign supplies of energy;</p><p>2. Assist the development of bioenergy feedstock crop technologies, including but not limited to, seed stock supplies, production technology, harvest equipment, transportation infrastructure and storage facilities;</p><p>3. Identify and assist in the development of commercially viable bioenergy market opportunities, including recruitment, expansion and establishment of renewable bioenergy businesses in Virginia; and</p><p>4. Promote the aquaculture of the species that are natives to or reside within the waters of the Chesapeake Bay and the Virginia Coast, in concert with the efforts of Virginia higher education institutions and the Virginia Marine Resources Commission, with a focus on assisting "traditional watermen" who rely on harvesting marine fish and shellfish. This effort shall also include watermen who are viable working participants of the aquaculture industry as contract growers, cooperatives or other business entities.</p><p>B. The Department shall provide funds in the form of grants to accomplish the objectives described in subsection A. The Department shall develop guidelines for the operation of the program that shall include, at a minimum, eligibility criteria for receiving grant awards, financial accountability for receiving grant awards, allowable uses of grant funds, and agricultural programmatic priorities. The Department shall consult with the Department of Conservation and Recreation and the U.S. Department of Agriculture's Natural Resources Conservation Service, when appropriate, to ensure compatibility with existing cost-share and other agricultural incentive programs.</p><p>2007, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?071+ful+CHAP0806'>806</a>, § 3.1-14.5; 2008, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0860'>860</a>.</p>
